area,conference,round,submission,final_notification,top,estimated
Mobile,MobiCom,26-R1,2026-03-15,2026-06-15,yes,no
Mobile,MobiCom,27-R1,2026-09-01,2026-11-25,yes,no
Mobile,MobiSys,27,2026-12-10,2027-03-05,yes,yes
Mobile,SenSys,27-R1,2026-07-01,2026-09-20,yes,no
Mobile,SenSys,27-R2,2026-11-15,2027-01-29,yes,no
Mobile,MobiHoc,26,2026-04-10,2026-07-30,no,no
Mobile,UbiComp,26-R2,2026-02-01,2026-04-01,yes,no
Mobile,UbiComp,26-R3,2026-05-01,2026-07-01,yes,no
Mobile,UbiComp,27-R1,2026-11-01,2027-01-01,yes,no
Mobile,PerCom,27,2026-09-20,2026-12-22,no,no

Networking,SIGCOMM,26,2026-01-30,2026-04-25,yes,no
Networking,NSDI,27-R1,2026-04-25,2026-07-25,yes,no
Networking,NSDI,27-R2,2026-09-20,2026-12-10,yes,no
Networking,INFOCOM,27,2026-07-31,2026-12-08,no,no
Networking,CoNEXT,26-R2,2026-06-05,2026-09-15,no,yes
Networking,CoNEXT,27-R1,2026-12-05,2027-04-05,no,yes

Systems,SOSP,27,2026-04-20,2026-07-20,yes,no
Systems,OSDI,27,2026-12-10,2027-03-25,yes,yes
Systems,ASPLOS,27-R1,2026-03-10,2026-06-25,yes,no
Systems,ASPLOS,27-R2,2026-08-20,2026-11-25,yes,no
Systems,ATC,26,2026-01-15,2026-04-25,yes,no
Systems,EuroSys,27-R1,2026-05-15,2026-08-22,yes,no
Systems,EuroSys,27-R2,2026-09-25,2027-01-30,yes,no

Embedded,EMSOFT,26,2026-03-30,2026-07-15,yes,no
Embedded,RTAS,27,2026-11-15,2027-01-30,yes,no
Embedded,ICCAD,26,2026-04-20,2026-06-30,yes,no
Embedded,DAC,27,2026-11-20,2027-02-28,yes,yes
Embedded,ICDCS,27,2026-12-18,2027-04-02,no,yes

Multimedia,MM,27,2026-04-15,2026-07-10,no,no
